protocol,model,split,test_name,train_rows,eval_rows,train_attack_percent,eval_attack_percent,train_time_sec,model_path,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,fpr,fnr,tn,fp,fn,tp
E4_ToN_to_UNSW,LightGBM,validation,validation,114284,38095,77.929,77.929,1.413,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e4_ton_to_unsw__lightgbm.joblib,0.99643,0.99626,0.998852,0.996564,0.997707,0.999819,0.999937,0.989665,0.004044,0.003436,8374,34,102,29585
E4_ToN_to_UNSW,LightGBM,test,UNSW test,114284,82332,77.929,55.06,1.413,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e4_ton_to_unsw__lightgbm.joblib,0.373743,0.352056,0.445907,0.566355,0.498965,0.293473,0.438323,-0.320978,0.862243,0.433645,5097,31903,19658,25674
E5_Pooled_to_UNSW,Logistic Regression,validation,validation,254556,73164,72.492,73.2,18.651,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__logistic_regression.joblib,0.885941,0.89534,0.965891,0.875084,0.918248,0.969326,0.988179,0.740985,0.084404,0.124916,17953,1655,6690,46866
E5_Pooled_to_UNSW,Logistic Regression,test,UNSW test,254556,82332,72.492,55.06,18.651,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__logistic_regression.joblib,0.772847,0.770387,0.793153,0.794692,0.793922,0.893134,0.926324,0.540893,0.253919,0.205308,27605,9395,9307,36025
E5_Pooled_to_UNSW,Random Forest,validation,validation,254556,73164,72.492,73.2,11.05,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__random_forest.joblib,0.969657,0.967523,0.986228,0.972123,0.979125,0.997082,0.998906,0.923931,0.037077,0.027877,18881,727,1493,52063
E5_Pooled_to_UNSW,Random Forest,test,UNSW test,254556,82332,72.492,55.06,11.05,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__random_forest.joblib,0.900719,0.895184,0.879458,0.949881,0.913314,0.978609,0.984426,0.800801,0.159514,0.050119,31098,5902,2272,43060
E5_Pooled_to_UNSW,XGBoost,validation,validation,254556,73164,72.492,73.2,3.321,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__xgboost.joblib,0.960117,0.965322,0.991078,0.954104,0.97224,0.996165,0.998561,0.903585,0.02346,0.045896,19148,460,2458,51098
E5_Pooled_to_UNSW,XGBoost,test,UNSW test,254556,82332,72.492,55.06,3.321,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__xgboost.joblib,0.91742,0.917987,0.936022,0.91238,0.92405,0.977601,0.983682,0.833931,0.076405,0.08762,34173,2827,3972,41360
E5_Pooled_to_UNSW,LightGBM,validation,validation,254556,73164,72.492,73.2,2.592,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__lightgbm.joblib,0.965283,0.969611,0.992033,0.960285,0.975901,0.997114,0.998925,0.915449,0.021063,0.039715,19195,413,2127,51429
E5_Pooled_to_UNSW,LightGBM,test,UNSW test,254556,82332,72.492,55.06,2.592,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_unsw__lightgbm.joblib,0.922995,0.922859,0.935179,0.924204,0.929659,0.980942,0.986233,0.844673,0.078486,0.075796,34096,2904,3436,41896
E5_Pooled_to_ToN,Logistic Regression,validation,validation,254556,73164,72.492,73.2,18.89,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__logistic_regression.joblib,0.885941,0.89534,0.965891,0.875084,0.918248,0.969326,0.988179,0.740985,0.084404,0.124916,17953,1655,6690,46866
E5_Pooled_to_ToN,Logistic Regression,test,ToN-IoT test,254556,38095,72.492,77.929,18.89,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__logistic_regression.joblib,0.933141,0.942866,0.987989,0.925456,0.9557,0.982913,0.993858,0.827375,0.039724,0.074544,8074,334,2213,27474
E5_Pooled_to_ToN,Random Forest,validation,validation,254556,73164,72.492,73.2,10.857,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__random_forest.joblib,0.969657,0.967523,0.986228,0.972123,0.979125,0.997082,0.998906,0.923931,0.037077,0.027877,18881,727,1493,52063
E5_Pooled_to_ToN,Random Forest,test,ToN-IoT test,254556,38095,72.492,77.929,10.857,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__random_forest.joblib,0.995747,0.994799,0.998043,0.996497,0.997269,0.999711,0.999902,0.987668,0.006898,0.003503,8350,58,104,29583
E5_Pooled_to_ToN,XGBoost,validation,validation,254556,73164,72.492,73.2,3.055,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__xgboost.joblib,0.960117,0.965322,0.991078,0.954104,0.97224,0.996165,0.998561,0.903585,0.02346,0.045896,19148,460,2458,51098
E5_Pooled_to_ToN,XGBoost,test,ToN-IoT test,254556,38095,72.492,77.929,3.055,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__xgboost.joblib,0.993122,0.991325,0.996624,0.994543,0.995583,0.999423,0.999809,0.980071,0.011893,0.005457,8308,100,162,29525
E5_Pooled_to_ToN,LightGBM,validation,validation,254556,73164,72.492,73.2,2.7,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__lightgbm.joblib,0.965283,0.969611,0.992033,0.960285,0.975901,0.997114,0.998925,0.915449,0.021063,0.039715,19195,413,2127,51429
E5_Pooled_to_ToN,LightGBM,test,ToN-IoT test,254556,38095,72.492,77.929,2.7,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e5_pooled_to_ton__lightgbm.joblib,0.995196,0.994787,0.998311,0.99552,0.996914,0.999767,0.999915,0.986104,0.005947,0.00448,8358,50,133,29554
